domain,parameter,code_config_field,cohort,setting_or_sampling_distribution,sampling_level,source_or_rationale,varied_in_sensitivity_analysis,realized_validation_target,run_version_commit
Seizure,Monthly burden,CHOCOLATES/defaultSeizureFreq,Both,Simulator-native empirical distribution,Participant,Goldenholz & Westover 2023,No,Realized seizures/month,de6a716cfff753583a4831fcecdf5af0847d99b4
Seizure,Overdispersion,CHOCOLATES gamma-Poisson process,Both,Simulator-native,Participant/day,Goldenholz & Westover 2023,No,Audit daily variance/mean,de6a716cfff753583a4831fcecdf5af0847d99b4
Seizure,Clustering,CHOCOLATES clustered process,Both,Simulator-native,Participant/day,Goldenholz & Westover 2023,No,Audit next-day clustering proxy,de6a716cfff753583a4831fcecdf5af0847d99b4
Seizure,Multidien periods and amplitudes,CHOCOLATES seizure cycles,Both,Simulator-native,Participant/day,Goldenholz & Westover 2023; Karoly et al.,No,Generator period and audit spectrum,de6a716cfff753583a4831fcecdf5af0847d99b4
Seizure,Interseizure constraints,CHOCOLATES refractory/cluster logic,Both,Simulator-native,Day,Goldenholz & Westover 2023,No,Not separately stored,de6a716cfff753583a4831fcecdf5af0847d99b4
Menstrual,Age,cohorts.*.age_range,Cohort-specific,"{'healthy_ovulatory': {'age_range': [18.0, 45.0], 'force_ovulatory_cycles': True}, 'population': {'age_range': [13.0, 54.9], 'force_ovulatory_cycles': False}}",Participant,Investigator-configured study cohorts,No,Participant age,de6a716cfff753583a4831fcecdf5af0847d99b4
Menstrual,Cycle length and variability,hormone_cycler profile/cycle sampling,Both,Literature-calibrated distributions,Participant/cycle,Li et al. 2023; Bull et al. 2019,No,Mean and within-person SD,de6a716cfff753583a4831fcecdf5af0847d99b4
Menstrual,Bleeding duration,hormone_cycler bleeding sampling,Both,Literature-calibrated,Cycle,Bull et al. 2019,No,Available in simulator validation suite,de6a716cfff753583a4831fcecdf5af0847d99b4
Menstrual,Ovulation and phase timing,hormone_cycler profile/render_cycle,Cohort-specific,Age/stage/modifier-dependent,Participant/cycle,Bull et al. 2019; simulator literature registry,No,Ovulatory fraction,de6a716cfff753583a4831fcecdf5af0847d99b4
Menstrual,Hormone trajectories,hormone_cycler hormone anchors,Both,Interpolated daily reference medians,Cycle/day,Stricker et al. 2006,No,Simulator validation suite,de6a716cfff753583a4831fcecdf5af0847d99b4
Menstrual,ILP rule,ilp_progesterone_threshold_ng_ml,Population,Maximum P4 on O+5 to O+9 < 5.0 ng/mL; nonovulatory/missing cycles flagged,Cycle,Investigator operationalization; threshold requires biological citation,No,Audit ILP fraction,de6a716cfff753583a4831fcecdf5af0847d99b4
Menstrual,PCOS,population_factor_rates.pcos,Population,0.1,Participant,Investigator-configured stress-test rate,No,Participant prevalence,de6a716cfff753583a4831fcecdf5af0847d99b4
Menstrual,Peri-menarche,population_factor_rates.peri_menarche_if_age_lt_20,Population,0.6,Participant conditional on age <20,Investigator-configured stress-test rate,No,Participant prevalence,de6a716cfff753583a4831fcecdf5af0847d99b4
Menstrual,Perimenopause,population_factor_rates.perimenopause_if_age_gte_45,Population,0.55,Participant conditional on age ≥45,Investigator-configured stress-test rate,No,Participant prevalence,de6a716cfff753583a4831fcecdf5af0847d99b4
Menstrual,Dysmenorrhea,population_factor_rates.dysmenorrhea,Population,0.12,Participant,Investigator-configured stress-test rate,No,Not retained in participant summary,de6a716cfff753583a4831fcecdf5af0847d99b4
Menstrual,Contraception/IUD settings,hormone_cycler MedicalFactors,Both,Available but not sampled in completed run,Participant,Simulator literature registry,No,Not applicable to completed run,de6a716cfff753583a4831fcecdf5af0847d99b4
Observation,Diary duration,analysis_modes.full.diary_months,Both,36,Participant,Study design,Across analyzed windows,36 months,de6a716cfff753583a4831fcecdf5af0847d99b4
Observation,Missingness,None,Both,No diary missingness simulated,Day,Study-design simplification,No,Complete synthetic diaries,de6a716cfff753583a4831fcecdf5af0847d99b4
Null construction,Independence and circular shift,circular_shift_target,Both,Independent generators; shifted seizure diary,Participant,Study design,No,Shift stored per participant,de6a716cfff753583a4831fcecdf5af0847d99b4
Null construction,Master seed,master_seed,Both,20260505,Run,Reproducibility control,No,Manifested,de6a716cfff753583a4831fcecdf5af0847d99b4
Null construction,Phase modes,phase_modes,Both,"strict_herzog, luteal_anchored_ovulatory",Analysis,Herzog criteria plus sensitivity,Yes,Both modes retained,de6a716cfff753583a4831fcecdf5af0847d99b4
Null construction,Cohort sizes,analysis_modes.full.cohort_sizes,Cohort-specific,"{'healthy_ovulatory': 50000, 'population': 50000}",Run,Monte Carlo design,No,"100,000 total",de6a716cfff753583a4831fcecdf5af0847d99b4
