domain,parameter,code_config_field,cohort,setting_or_sampling_distribution,sampling_level,source_or_rationale,varied_in_sensitivity_analysis,realized_validation_target,run_version_commit
Seizure,Monthly burden,CHOCOLATES/defaultSeizureFreq,Both,Simulator-native empirical distribution,Participant,Goldenholz & Westover 2023,No,Realized seizures/month,code-sha256:01897437f6815e3e64d086c19b790a3e03527a761e0ed6f3bd947121ceafdb2e; config-sha256:aba1bfbeef1cc391d2de5558fb962c28bf720d8e68906b32d034ed707890515d
Seizure,Overdispersion,CHOCOLATES gamma-Poisson process,Both,Simulator-native,Participant/day,Goldenholz & Westover 2023,No,Audit daily variance/mean,code-sha256:01897437f6815e3e64d086c19b790a3e03527a761e0ed6f3bd947121ceafdb2e; config-sha256:aba1bfbeef1cc391d2de5558fb962c28bf720d8e68906b32d034ed707890515d
Seizure,Clustering,CHOCOLATES clustered process,Both,Simulator-native,Participant/day,Goldenholz & Westover 2023,No,Audit next-day clustering proxy,code-sha256:01897437f6815e3e64d086c19b790a3e03527a761e0ed6f3bd947121ceafdb2e; config-sha256:aba1bfbeef1cc391d2de5558fb962c28bf720d8e68906b32d034ed707890515d
Seizure,Multidien periods and amplitudes,CHOCOLATES seizure cycles,Both,Simulator-native,Participant/day,Goldenholz & Westover 2023; Karoly et al.,No,Generator period and audit spectrum,code-sha256:01897437f6815e3e64d086c19b790a3e03527a761e0ed6f3bd947121ceafdb2e; config-sha256:aba1bfbeef1cc391d2de5558fb962c28bf720d8e68906b32d034ed707890515d
Seizure,Interseizure constraints,CHOCOLATES refractory/cluster logic,Both,Simulator-native,Day,Goldenholz & Westover 2023,No,Not separately stored,code-sha256:01897437f6815e3e64d086c19b790a3e03527a761e0ed6f3bd947121ceafdb2e; config-sha256:aba1bfbeef1cc391d2de5558fb962c28bf720d8e68906b32d034ed707890515d
Menstrual,Age,cohorts.*.age_range,Cohort-specific,"{'healthy_ovulatory': {'age_range': [18.0, 45.0], 'force_ovulatory_cycles': True}, 'population': {'age_range': [13.0, 54.9], 'force_ovulatory_cycles': False}}",Participant,Investigator-configured study cohorts,No,Participant age,code-sha256:01897437f6815e3e64d086c19b790a3e03527a761e0ed6f3bd947121ceafdb2e; config-sha256:aba1bfbeef1cc391d2de5558fb962c28bf720d8e68906b32d034ed707890515d
Menstrual,Cycle length and variability,hormone_cycler profile/cycle sampling,Both,Age-specific low/high participant-variability mixture initialized by a deterministic surrogate and refined in the full simulator; 17-day-shifted lognormal cycle sampler; broad 18–120-day software bounds,Participant/cycle,Calibrated to Li et al. 2023; Cunningham et al. 2024 held out,No,"Age-specific mean, pooled within-person SD, participant irregularity, short/long tails, and held-out 12-month cross-check",code-sha256:01897437f6815e3e64d086c19b790a3e03527a761e0ed6f3bd947121ceafdb2e; config-sha256:aba1bfbeef1cc391d2de5558fb962c28bf720d8e68906b32d034ed707890515d
Menstrual,Bleeding duration,hormone_cycler bleeding sampling,Both,Literature-calibrated,Cycle,Bull et al. 2019,No,Available in simulator validation suite,code-sha256:01897437f6815e3e64d086c19b790a3e03527a761e0ed6f3bd947121ceafdb2e; config-sha256:aba1bfbeef1cc391d2de5558fb962c28bf720d8e68906b32d034ed707890515d
Menstrual,Ovulation and phase timing,hormone_cycler profile/render_cycle,Cohort-specific,Age/stage/modifier-dependent,Participant/cycle,Bull et al. 2019; simulator literature registry,No,Ovulatory fraction,code-sha256:01897437f6815e3e64d086c19b790a3e03527a761e0ed6f3bd947121ceafdb2e; config-sha256:aba1bfbeef1cc391d2de5558fb962c28bf720d8e68906b32d034ed707890515d
Menstrual,Hormone trajectories,hormone_cycler daily reference envelope and long-follicular E2 variants,Both,LH-aligned daily Stricker medians mapped to ovulation with PCHIP; terminal follicular maturation is not stretched in long cycles; deterministic delayed-emergence or failed-wave E2 geometry,Cycle/day,Stricker et al. 2006; Harlow et al. 2000; Mumford et al. 2012,No,Independent Anckaert subphase amplitudes plus prespecified daily morphology checks,code-sha256:01897437f6815e3e64d086c19b790a3e03527a761e0ed6f3bd947121ceafdb2e; config-sha256:aba1bfbeef1cc391d2de5558fb962c28bf720d8e68906b32d034ed707890515d
